event_date,bond_code,Y,prob_proposal,signal_buy,pnl,cumulative_pnl
2024-12-05,123082.SZ,1,0.35000655,0,0.0,0.0
2024-12-06,118035.SH,0,0.20590384,0,0.0,0.0
2024-12-06,118023.SH,0,0.12447194,0,0.0,0.0
2024-12-06,113633.SH,0,0.24033245,0,0.0,0.0
2024-12-06,113597.SH,0,0.7898339,1,-0.002,-0.002
2024-12-06,113601.SH,0,0.41769588,0,0.0,-0.002
2024-12-06,113606.SH,0,0.46960407,0,0.0,-0.002
2024-12-09,127022.SZ,0,0.2334485,0,0.0,-0.002
2024-12-10,128071.SZ,1,0.18559703,0,0.0,-0.002
2024-12-10,113047.SH,1,0.36406207,0,0.0,-0.002
2024-12-10,113661.SH,0,0.061520517,0,0.0,-0.002
2024-12-10,118033.SH,0,0.073903136,0,0.0,-0.002
2024-12-10,123064.SZ,1,0.10183911,0,0.0,-0.002
2024-12-13,123091.SZ,0,0.46990916,0,0.0,-0.002
2024-12-13,118006.SH,0,0.06998165,0,0.0,-0.002
2024-12-13,128097.SZ,0,0.24196595,0,0.0,-0.002
2024-12-13,118005.SH,0,0.1707553,0,0.0,-0.002
2024-12-13,128138.SZ,0,0.670501,0,0.0,-0.002
2024-12-13,113618.SH,0,0.3317828,0,0.0,-0.002
2024-12-13,110086.SH,0,0.059167646,0,0.0,-0.002
2024-12-13,113638.SH,0,0.17632663,0,0.0,-0.002
2024-12-13,113049.SH,0,0.15097454,0,0.0,-0.002
2024-12-13,110092.SH,0,0.44602662,0,0.0,-0.002
2024-12-17,118011.SH,0,0.053824663,0,0.0,-0.002
2024-12-17,118031.SH,0,0.18350625,0,0.0,-0.002
2024-12-17,118042.SH,0,0.04992885,0,0.0,-0.002
2024-12-17,123215.SZ,1,0.12748185,0,0.0,-0.002
2024-12-17,127038.SZ,0,0.24340007,0,0.0,-0.002
2024-12-17,128134.SZ,0,0.21678436,0,0.0,-0.002
2024-12-19,123200.SZ,0,0.07050255,0,0.0,-0.002
2024-12-19,127089.SZ,0,0.07282145,0,0.0,-0.002
2024-12-19,110085.SH,0,0.17525978,0,0.0,-0.002
2024-12-19,111014.SH,0,0.18824758,0,0.0,-0.002
2024-12-19,113542.SH,0,0.17400308,0,0.0,-0.002
2024-12-20,113670.SH,0,0.10126058,0,0.0,-0.002
2024-12-20,118010.SH,0,0.12624739,0,0.0,-0.002
2024-12-20,123165.SZ,0,0.10090328,0,0.0,-0.002
2024-12-20,128074.SZ,0,0.30333564,0,0.0,-0.002
2024-12-23,110081.SH,0,0.38074046,0,0.0,-0.002
2024-12-24,118007.SH,0,0.10306922,0,0.0,-0.002
2024-12-24,123132.SZ,0,0.14356132,0,0.0,-0.002
2024-12-25,123189.SZ,0,0.14421692,0,0.0,-0.002
2024-12-26,111010.SH,0,0.092937544,0,0.0,-0.002
2024-12-26,123159.SZ,0,0.07936142,0,0.0,-0.002
2024-12-27,118023.SH,0,0.08866031,0,0.0,-0.002
2024-12-30,128136.SZ,0,0.21719356,0,0.0,-0.002
2024-12-30,127017.SZ,0,0.42970437,0,0.0,-0.002
2024-12-30,113601.SH,0,0.45386982,0,0.0,-0.002
2024-12-30,127016.SZ,0,0.20370913,0,0.0,-0.002
2024-12-31,118000.SH,0,0.68065894,0,0.0,-0.002
2024-12-31,118033.SH,0,0.15011401,0,0.0,-0.002
2024-12-31,123049.SZ,0,0.607222,0,0.0,-0.002
2025-01-02,113656.SH,0,0.4065069,0,0.0,-0.002
2025-01-03,110076.SH,0,0.25339952,0,0.0,-0.002
2025-01-03,127018.SZ,0,0.23677622,0,0.0,-0.002
2025-01-06,110086.SH,0,0.05502816,0,0.0,-0.002
2025-01-06,128135.SZ,0,0.40467098,0,0.0,-0.002
2025-01-07,127079.SZ,0,0.23427919,0,0.0,-0.002
2025-01-08,128134.SZ,0,0.26879242,0,0.0,-0.002
2025-01-08,127064.SZ,0,0.39968836,0,0.0,-0.002
2025-01-08,123093.SZ,0,0.27754396,0,0.0,-0.002
2025-01-08,118029.SH,0,0.06917729,0,0.0,-0.002
2025-01-08,110095.SH,0,0.14737797,0,0.0,-0.002
2025-01-08,118031.SH,0,0.27218768,0,0.0,-0.002
