event_date,Y,bond_code,W1,W2,W3,W4a,W5,W6,W7a,W8,W9
2022-08-30,0,123136.SZ,-0.1716982126235962,7.326489,0,1,0,1,0,5.3936,0.09924
2022-08-31,0,113594.SH,0.1083067804574966,9.410898,0,1,1,0,0,3.8877,0.15909
2022-08-31,0,113606.SH,-0.0024678229819983,2.381811,0,1,0,0,0,4.1643,0.0093
2022-09-01,1,113059.SH,-0.0436601117253303,1.432479,0,0,0,1,0,5.7166,0.94545
2022-09-01,0,113604.SH,0.314395546913147,3.351077,0,1,0,1,0,4.115,0.35484
2022-09-01,0,113616.SH,0.0227226838469505,2.038325,0,0,0,0,0,4.3231,0.00258
2022-09-01,0,127017.SZ,-0.0937350839376449,1.678654,1,0,0,1,0,3.7536,0.01141
2022-09-02,0,127026.SZ,-0.1064008921384811,2.135972,1,0,0,0,0,4.2656,0.33503
2022-09-07,0,127056.SZ,-0.0727196037769317,0.921555,1,0,0,1,0,5.4675,0.40625
2022-09-07,0,113638.SH,-0.0419418439269065,1.538529,0,0,0,1,0,5.3087,0.16779
2022-09-07,0,110064.SH,-0.0434623621404171,1.062918,1,0,0,0,0,3.2854,0.61442
2022-09-08,0,127024.SZ,-0.0570399574935436,1.61147,0,0,0,0,0,4.1561,0.10047
2022-09-09,0,113608.SH,-0.0165087450295686,3.244724,0,1,0,0,0,4.167,0.01852
2022-09-13,0,123155.SZ,-0.1400375813245773,1.802166,0,1,0,0,0,5.9138,1.0
2022-09-13,0,128131.SZ,-0.0854274630546569,1.686551,0,0,0,1,0,3.9836,0.20594
2022-09-14,0,127062.SZ,-0.0937619283795356,1.854884,0,1,0,1,0,5.6016,0.70513
2022-09-15,0,118000.SH,-0.0054630222730338,1.185861,0,1,0,0,0,4.4408,0.0137
2022-09-15,0,118005.SH,-0.0699733197689056,3.962292,0,1,0,1,0,5.3662,0.16667
2022-09-15,0,118007.SH,-0.0978738665580749,5.387078,1,1,0,1,0,5.5168,0.39175
2022-09-15,0,128014.SZ,-0.0623702332377433,3.024767,0,1,1,0,0,0.5859,0.7
2022-09-16,0,123072.SZ,0.013027380220592,1.6211,0,1,0,0,0,4.0958,0.19599
2022-09-19,0,128056.SZ,0.0903879851102829,0.739749,0,1,0,0,0,2.4449,0.69658
2022-09-20,0,127004.SZ,0.0402262955904006,0.896102,0,1,0,0,0,0.6982,0.65092
2022-09-23,0,123115.SZ,-0.0444182865321636,3.691419,0,1,0,1,0,4.7064,0.03333
2022-09-23,0,118010.SH,-0.1102199032902717,3.083614,0,1,0,0,0,5.7632,0.02941
2022-09-26,0,113650.SH,-0.0194510258734226,1.839862,0,1,0,0,0,5.7632,0.02632
2022-09-26,0,123142.SZ,-0.1322420686483383,4.479088,0,1,0,1,0,5.4757,0.47321
2022-09-26,0,123145.SZ,-0.1412186920642852,2.656333,0,0,0,1,0,5.5661,0.03409
2022-09-29,0,111001.SH,0.116598293185234,1.289895,1,1,0,1,0,5.1088,0.00508
2022-09-29,0,113619.SH,-0.1030917018651962,1.572543,1,0,0,0,0,4.3094,0.1688
2022-09-30,0,113546.SH,-0.0516697578132152,3.454457,0,1,0,1,0,3.0637,0.18903
2022-09-30,0,123154.SZ,-0.1557062417268753,1.621631,0,1,0,0,0,5.848,0.04167
2022-10-10,0,113524.SH,-0.1005710586905479,2.097963,1,1,0,1,0,2.1793,0.11185
2022-10-10,0,118009.SH,-0.1164520606398582,3.178477,0,1,0,0,0,5.7057,0.25
2022-10-10,0,128023.SZ,-0.1225965470075607,1.701957,0,0,0,0,0,1.1499,0.76128
2022-10-10,0,128117.SZ,-0.0757903903722763,2.842266,0,1,0,0,0,3.7262,0.54766
2022-10-11,0,128143.SZ,-0.0547252632677555,2.438571,0,1,0,1,0,4.2437,0.07426
2022-10-12,0,128056.SZ,0.0903879851102829,0.739749,0,1,0,0,0,2.3819,0.50175
2022-10-12,0,113602.SH,-0.0780468061566352,1.397647,0,0,1,0,0,3.8658,0.01222
2022-10-12,0,113505.SH,0.0351697653532028,1.299315,0,0,0,0,0,1.399,0.23021
2022-10-12,0,113563.SH,-0.0164556242525577,1.479757,0,0,0,0,0,3.2635,0.04088
2022-10-13,0,113549.SH,-0.0437996461987495,1.456081,0,0,0,1,0,3.091,0.01318
2022-10-13,0,118007.SH,-0.0978738665580749,5.387078,1,1,0,1,0,5.4401,0.20536
2022-10-13,0,123035.SZ,-0.0511669106781482,1.885156,0,0,0,0,0,3.0883,0.00584
2022-10-13,1,128133.SZ,0.0067945760674774,2.275213,0,0,1,1,0,3.9425,0.01057
2022-10-14,1,110047.SH,0.0247001126408576,0.726257,0,0,0,0,0,2.1054,0.00431
2022-10-14,0,127067.SZ,-0.01225496083498,0.775449,0,0,0,0,0,5.7687,0.03125
2022-10-18,1,110063.SH,0.0247001126408576,0.726257,0,0,0,0,0,3.154,0.01194
2022-10-18,1,123141.SZ,0.0510734729468822,1.416217,0,1,0,1,0,5.4073,0.06452
2022-10-18,0,127004.SZ,0.0402262955904006,0.896102,0,1,0,0,0,0.6215,0.43523
2022-10-19,0,113053.SH,-0.0923573300242424,1.467153,0,0,0,1,0,5.2129,0.01887
2022-10-19,0,113542.SH,-0.0287772100418806,1.231528,0,0,0,0,0,2.7844,0.06983
2022-10-20,0,110087.SH,-0.0362072438001632,1.555862,1,0,0,0,0,5.6756,0.13793
2022-10-20,0,113651.SH,-0.1219058036804199,1.818828,0,0,0,0,0,5.7495,0.27027
2022-10-25,0,123138.SZ,-0.0938209369778633,1.975465,0,1,0,1,0,5.3525,0.10714
2022-10-26,0,128056.SZ,0.0903879851102829,0.739749,0,1,0,0,0,2.3436,0.50288
2022-10-26,0,128125.SZ,-0.0889574810862541,1.763587,0,1,0,0,0,3.7591,0.07266
2022-10-27,0,127034.SZ,0.0703447759151458,4.020788,0,1,0,0,0,4.5065,0.07059
2022-10-28,1,127050.SZ,-0.1466837376356125,3.233317,0,0,0,1,0,5.0376,0.03756
2022-10-31,0,118017.SH,-0.0672167763113975,2.139219,0,1,0,1,0,5.7714,0.36111
2022-10-31,0,127055.SZ,-0.122011587023735,2.330091,1,1,0,1,0,5.3114,0.00704
2022-10-31,0,128023.SZ,-0.137128934264183,1.64215,0,0,0,0,0,1.0924,0.77464
2022-11-01,0,128143.SZ,-0.0821991860866546,2.397411,0,1,0,1,0,4.1862,0.14797
2022-11-02,0,113636.SH,-0.0825019255280494,1.075842,0,1,0,1,0,5.1116,0.00508
2022-11-02,0,123129.SZ,-0.1566412597894668,4.364115,1,1,1,0,0,5.0048,0.05357
2022-11-04,0,113033.SH,0.164535641670227,0.52187,0,0,0,0,0,3.4059,0.00489
2022-11-08,0,127004.SZ,0.0266022607684135,0.912663,0,1,0,0,0,0.564,0.66837
2022-11-09,0,128056.SZ,0.0838334932923317,0.776886,0,1,0,0,0,2.3053,0.60068
